experiment,network,storageMode,batchSize,sendIntervalSeconds,measurementIndex,txType,isInitializationTx,txHash,blockNumber,status,gasUsed,effectiveGasPriceWei,feeWei,feeEth,requestBodyBytes,calldataBytes,txSubmitLatencyMs,confirmationLatencyMs,middlewareTotalLatencyMs,deviceToBlockLatencySeconds,logsCount,notes
baseline,anvil,array,1,10,1,storageInitialization,true,0xa3643098607d915aa09847183572bd5896acb8209fca92f39092d46e40cc0c47,3,1,191456,1777912687,340392051402272,0.000340392051402272,,292,,,,0,1,prima misura dello scenario: include costo iniziale di scrittura su storage vuoto
baseline,anvil,array,1,10,2,recordSingle,false,0x6aa4cfb8b46a2a9a9cf5a012c221567595e8eff1b22089de4d152ee1b6688ef4,4,1,157268,1681914735,264511366543980,0.00026451136654398,,292,,,,0,1,
baseline,anvil,array,1,10,3,recordSingle,false,0x4df97916536fae33789ab1e7d1a0080771f4d3ac580c6766ac1f02cfd9fd5720,5,1,157256,1597569088,251227324502528,0.000251227324502528,,292,,,,0,1,
baseline,anvil,array,1,10,4,recordSingle,false,0xcd59ba79506b9bfc5a32602ecb63a619872e4e3f8fcc4901c5eb9b061675ac1a,6,1,157268,1523656047,239622339199596,0.000239622339199596,,292,,,,0,1,
baseline,anvil,array,1,10,5,recordSingle,false,0x50126d1a5425a7f057536ce65795909f65a06d2be47678b494fb85869d5acaeb,7,1,157268,1458885328,229435977763904,0.000229435977763904,,292,,,,0,1,
baseline,anvil,array,1,10,6,recordSingle,false,0xba9fe89da70e06ee4380ab83e99e35a29e1be5bad4ff39105584503b23613f61,8,1,157268,1402126062,220509561518616,0.000220509561518616,,292,,,,0,1,
baseline,anvil,array,1,10,7,recordSingle,false,0x2cb7461ce21169465b6b0e00659c6a25355b999ce19346baf30ba0c12b52c045,9,1,157268,1352387318,212687248727224,0.000212687248727224,,292,,,,1,1,
baseline,anvil,array,1,10,8,recordSingle,false,0xd2a195debdb01e7718593ba731e0aa347237239837702a9bfc960bc6954cc44c,10,1,157268,1308800731,205832473362908,0.000205832473362908,,292,,,,0,1,
baseline,anvil,array,1,10,9,recordSingle,false,0x6869ef70d9fd6b75d2dd580aac690e7603b6c5ccad539146c4182fbb5d0d5ca2,11,1,157268,1270605344,199825561240192,0.000199825561240192,,292,,,,0,1,
baseline,anvil,array,1,10,10,recordSingle,false,0xc48ddfde30edf335294741b91aa75f015f51b80095c33b2fd180d09f8efc41c1,12,1,157256,1237134323,194546795097688,0.000194546795097688,,292,,,,0,1,
