experiment,network,storageMode,batchSize,sendIntervalSeconds,measurementIndex,txType,isInitializationTx,txHash,blockNumber,status,gasUsed,effectiveGasPriceWei,feeWei,feeEth,requestBodyBytes,calldataBytes,txSubmitLatencyMs,confirmationLatencyMs,middlewareTotalLatencyMs,deviceToBlockLatencySeconds,logsCount,notes
baseline,sepolia,array,1,10,1,storageInitialization,true,0xcc86011ca68b44745b3e98fb481e6c9d03ce495e962bffceabc58b6b9483fdbb,11187733,1,191468,5516350120,1056204524776160,0.00105620452477616,,292,,,,,1,prima misura dello scenario: include costo iniziale di scrittura su storage vuoto
baseline,sepolia,array,1,10,2,recordSingle,false,0xb8463f162b8c4bd31c0f304f7dc60c0cf30e10b4b8df14f121991aec28998d88,11187750,1,157268,3543702480,557311001624640,0.00055731100162464,,292,,,,,1,
baseline,sepolia,array,1,10,3,recordSingle,false,0xdeb4d9bffd24393ad2bbb3eb8b5d27daa59e9cc53ae96356a4cba63f6d14659e,11187758,1,157268,3411241192,536479079783456,0.000536479079783456,,292,,,,,1,
baseline,sepolia,array,1,10,4,recordSingle,false,0x1d23e4a0863737b87e0d43e5014bab2f0acee07577623b769707f6238d97d205,11187761,1,157268,3548361272,558043680524896,0.000558043680524896,,292,,,,,1,
baseline,sepolia,array,1,10,5,recordSingle,false,0x6cad0fe51cdd2a223893803a5f274589afe22f40cf425924be7f8a1e2c5c0d78,11187777,1,157268,5469639043,860199193014524,0.000860199193014524,,292,,,,,1,
baseline,sepolia,array,1,10,6,recordSingle,false,0xc34576ab9325a7919692956cca43649e65af17808a26d57596e629dfe30db77e,11187783,1,157268,6324947472,994711839026496,0.000994711839026496,,292,,,,,1,
baseline,sepolia,array,1,10,7,recordSingle,false,0xfb84cefe9c4aaacc735e2e24821dcf9f5b10b2c4b4915b0d38836413192e7f10,11187789,1,157268,7244734260,1139364867601680,0.00113936486760168,,292,,,,,1,
baseline,sepolia,array,1,10,8,recordSingle,false,0xc7e7b679251f0295d70d94f237b211f7e141b746682bdcf4dfced41fae357960,11187795,1,157268,7495856700,1178858391495600,0.0011788583914956,,292,,,,,1,
baseline,sepolia,array,1,10,9,recordSingle,false,0x81d04684f1c9c31813c3cbafc3782f54888a48ffea75b655db67df09e21d3acc,11187801,1,157268,8790757539,1382504856643452,0.001382504856643452,,292,,,,,1,
baseline,sepolia,array,1,10,10,recordSingle,false,0x425a7857899f154d4fa452a80018b383fc6929c88a413cdf003bf1143f698d17,11187805,1,157268,10107710617,1589619433314356,0.001589619433314356,,292,,,,,1,
