experiment,network,storageMode,batchSize,sendIntervalSeconds,measurementIndex,txType,isInitializationTx,txHash,blockNumber,status,gasUsed,effectiveGasPriceWei,feeWei,feeEth,requestBodyBytes,calldataBytes,txSubmitLatencyMs,confirmationLatencyMs,middlewareTotalLatencyMs,deviceToBlockLatencySeconds,logsCount,notes
storage-modes,sepolia,full-storage,1,,1,storageInitialization,true,0x436b8e60793f9ccf1310c5afd51fa3d793032dc3db002c90e5b4f8ce802ff928,11224480,1,191468,1070930269,205048876744892,0.000205048876744892,,292,,,,,1,prima misura dello scenario: include costo iniziale di scrittura su storage vuoto
storage-modes,sepolia,full-storage,1,,2,recordSingle,false,0xa4703707fb35dacfa19f45bbd18640e17a6c0a0e1d4f17b1a8fc4185d30f424c,11224482,1,157268,988514845,155461752643460,0.00015546175264346,,292,,,,,1,
storage-modes,sepolia,full-storage,1,,3,recordSingle,false,0x6a37f3530e71020ee21163db5e74e02fabecfd6d288121f9f5c011e7fa93c3e7,11224484,1,157256,1126768878,177191166678768,0.000177191166678768,,292,,,,,1,
storage-modes,sepolia,full-storage,1,,4,recordSingle,false,0x9c3261ac6470590deec4f5723b22c13d5e1d9ecc6f9de789c97abb8499b4e194,11224486,1,157268,1066454769,167719208611092,0.000167719208611092,,292,,,,,1,
storage-modes,sepolia,full-storage,1,,5,recordSingle,false,0x11d721681b1ef575c0c4927fd3b524122b26fedc777dc8190814716fc29d42f1,11224488,1,157268,1007334936,158421550714848,0.000158421550714848,,292,,,,,1,
storage-modes,sepolia,full-storage,1,,6,recordSingle,false,0x2dcfab8ee09d3ce31483886f43f06c219260894514486ecbdce56708687216fb,11224491,1,157268,1114054321,175205094955028,0.000175205094955028,,292,,,,,1,
storage-modes,sepolia,full-storage,1,,7,recordSingle,false,0xc0ddb738e7473a21da0bfa3b2187aaa1246be5461b3e873c77af6d643013e7f7,11224492,1,157268,1097415096,172588277317728,0.000172588277317728,,292,,,,,1,
storage-modes,sepolia,full-storage,1,,8,recordSingle,false,0x97f71ee8fed6d9b5f0005b85bfd64967b2d8800eca2d94758ce38bb4c111289a,11224493,1,157268,1049112580,164991837231440,0.00016499183723144,,292,,,,,1,
storage-modes,sepolia,full-storage,1,,9,recordSingle,false,0x3d2482999764b921a530f4feb1e6bb766c6fa0c45a6a5fe38e2df6422b06a792,11224494,1,157268,1030256614,162026397170552,0.000162026397170552,,292,,,,,1,
storage-modes,sepolia,full-storage,1,,10,recordSingle,false,0xe1fb7d45667bd86f893357770eb5931b4dfe4411a151d4b1b8c7e6642d76f6f2,11224497,1,157268,1072418926,168657179654168,0.000168657179654168,,292,,,,,1,
storage-modes,sepolia,latest-storage,1,,1,storageInitialization,true,0x89f69413c5c45ac0962430b8d7cdd4d04828ab127ab8c92cb5311cd8f3ef7827,11224771,1,191500,1051338459,201331314898500,0.0002013313148985,,292,,,,,1,prima misura dello scenario: include costo iniziale di scrittura su storage vuoto
storage-modes,sepolia,latest-storage,1,,2,recordSingle,false,0x1107c0e4d901da63fe54a0323424845cc21f09038927ee2ae732c2cbcb6dabd8,11224773,1,69000,1030741235,71121145215000,0.000071121145215,,292,,,,,1,
storage-modes,sepolia,latest-storage,1,,3,recordSingle,false,0x6bd03da6b14c5a73c4a35ff4c2b8fc6d1a85ebf4b689ef67d6e6916089f2f208,11224779,1,69000,997539810,68830246890000,0.00006883024689,,292,,,,,1,
storage-modes,sepolia,latest-storage,1,,4,recordSingle,false,0x10e9445ef035fd8247a121cb5468d203a86d8f5b8d86fdecfcbe08ed82c11e70,11224781,1,69000,1107035145,76385425005000,0.000076385425005,,292,,,,,1,
